time,open,high,low,close,volume
05/10/17,134.00,134.35,133.35,133.80,134027
06/10/17,134.00,134.00,132.95,133.30,162296
09/10/17,133.65,134.65,133.20,133.35,176363
10/10/17,133.60,134.00,132.75,133.05,201282
11/10/17,133.50,133.85,132.70,133.05,226450
12/10/17,133.35,133.70,132.50,133.70,217899
13/10/17,133.95,134.00,132.10,132.60,192996
16/10/17,132.85,133.00,132.05,132.10,126828
17/10/17,132.75,132.80,131.75,131.85,178933
18/10/17,132.35,133.35,131.60,132.20,265898
19/10/17,131.90,132.00,130.25,131.55,246624
20/10/17,132.35,133.00,130.10,130.90,329657
23/10/17,130.75,132.75,130.50,132.75,237144
24/10/17,132.35,132.95,128.40,129.40,519682
25/10/17,129.90,131.65,129.35,130.45,400681
26/10/17,130.65,133.00,130.45,132.90,309105
27/10/17,133.80,134.10,133.25,133.60,296435
30/10/17,133.75,134.15,133.15,133.80,235686
31/10/17,133.90,134.00,132.35,133.40,305935
01/11/17,133.95,135.30,133.60,133.60,190207
02/11/17,133.95,134.20,130.30,130.95,273642
03/11/17,130.95,131.20,130.35,130.85,176157
06/11/17,131.20,132.40,131.20,131.30,213196
07/11/17,131.50,131.90,129.80,129.80,297215
08/11/17,130.25,130.80,129.00,130.00,268018
09/11/17,130.00,130.00,126.45,127.00,333057
10/11/17,126.75,127.90,125.75,126.35,278658
13/11/17,126.50,127.00,125.00,125.85,238643
14/11/17,125.90,127.80,125.75,126.30,308004
15/11/17,125.80,126.40,124.60,125.75,261208
16/11/17,126.35,126.85,125.40,126.05,241558
17/11/17,126.55,126.55,125.30,125.45,195630
20/11/17,125.30,125.70,124.35,125.10,207310
21/11/17,124.95,126.10,124.20,125.80,237527
22/11/17,125.80,125.80,123.80,124.20,281403
23/11/17,124.55,125.60,123.85,125.00,129409
24/11/17,125.00,127.40,124.75,127.15,228108
27/11/17,127.30,127.30,125.95,126.45,202929
28/11/17,126.30,127.35,125.95,126.95,203820
29/11/17,127.20,127.35,123.50,123.55,297156
30/11/17,123.25,124.35,121.95,124.25,611608
01/12/17,124.60,125.20,122.20,123.95,415840
04/12/17,124.85,125.95,123.80,124.55,360723
05/12/17,124.15,124.35,122.10,123.10,371014
06/12/17,122.05,123.30,121.15,123.20,224836
07/12/17,123.75,124.45,121.80,124.25,275500
08/12/17,124.80,125.20,123.75,125.20,285081
11/12/17,125.20,125.20,124.05,124.60,208944
12/12/17,125.00,133.95,124.90,133.50,1075337
13/12/17,134.05,134.35,131.80,133.75,576830
14/12/17,131.90,132.15,129.25,130.20,550712
15/12/17,129.55,130.90,127.45,128.60,778061
18/12/17,126.70,127.55,125.20,126.50,554967
19/12/17,126.65,127.35,124.05,124.50,438742
20/12/17,124.80,124.80,122.75,123.50,311135
21/12/17,123.20,123.30,121.95,122.25,331863
22/12/17,122.15,123.25,121.55,122.25,219200
27/12/17,122.10,122.25,120.90,121.45,188319
28/12/17,121.45,122.35,121.10,121.60,175114
29/12/17,121.60,122.20,120.90,121.35,173424
02/01/18,122.00,122.00,120.30,121.70,222668
03/01/18,122.00,124.75,121.75,123.45,366636
04/01/18,123.55,125.40,123.55,125.20,343406
05/01/18,125.70,127.05,125.55,127.05,270482
08/01/18,127.35,127.70,126.10,126.40,247747
09/01/18,126.50,126.85,125.15,125.90,243076
10/01/18,125.80,126.05,124.25,125.10,232336
11/01/18,125.20,125.70,123.80,125.10,236047
12/01/18,125.50,127.40,124.70,127.00,304666
15/01/18,126.80,128.35,126.40,127.95,192795
16/01/18,127.85,127.95,126.45,127.50,213383
17/01/18,126.90,127.75,126.80,127.20,183444
18/01/18,127.50,127.65,126.60,127.30,301523
19/01/18,127.30,128.50,126.85,128.35,281956
22/01/18,128.40,129.40,127.85,128.50,185919
23/01/18,129.35,130.45,128.35,130.30,232725
24/01/18,130.40,130.55,128.05,128.05,198280
25/01/18,127.85,128.25,125.70,126.50,215425
26/01/18,126.55,127.60,126.20,127.60,155146
29/01/18,127.65,128.95,127.10,128.55,210902
30/01/18,127.60,129.05,126.45,126.80,236126
31/01/18,126.70,127.30,126.15,127.00,270279
01/02/18,127.25,128.50,127.00,127.00,291863
02/02/18,126.75,126.80,125.40,125.70,229502
05/02/18,125.00,125.15,123.10,123.60,212230
06/02/18,120.15,121.95,119.00,120.30,507659
07/02/18,121.25,123.65,120.05,123.35,358406
08/02/18,122.90,122.90,118.35,119.10,364575
09/02/18,118.20,119.10,116.45,117.70,311202
12/02/18,118.65,119.80,118.30,119.05,259570
13/02/18,118.95,119.70,118.45,119.30,254605
14/02/18,119.80,121.10,118.40,120.70,266325
15/02/18,121.50,122.80,120.90,121.60,296892
16/02/18,122.15,123.45,121.70,123.00,198357
19/02/18,123.00,123.20,122.25,122.50,158177
20/02/18,122.50,122.75,121.55,121.75,288308
